			rss	vsize
gmm_d20_K200.txt	Enzyme/C	Packed	661188608	5057744896
gmm_d64_K25.txt	LAGrad	Full	8347648	4406390784
gmm_d64_K25.txt	LAGrad	Tri	8536064	4396957696
gmm_d64_K25.txt	LAGrad	Packed	8368128	4406489088
gmm_d64_K25.txt	Enzyme/MLIR	Full	0	0
gmm_d64_K25.txt	Enzyme/MLIR	Tri	4561653760	8957681664
gmm_d64_K25.txt	Enzyme/MLIR	Packed	266543104	4664655872
gmm_d64_K25.txt	Enzyme/C	Full	8330551296	12728561664
gmm_d64_K25.txt	Enzyme/C	Tri	8850391040	13238923264
gmm_d64_K25.txt	Enzyme/C	Packed	266833920	4655640576
gmm_d32_K100.txt	LAGrad	Full	5955584	4394274816
gmm_d32_K100.txt	LAGrad	Tri	6094848	4403720192
gmm_d32_K100.txt	LAGrad	Packed	5976064	4403691520
gmm_d32_K100.txt	Enzyme/MLIR	Full	0	0
gmm_d32_K100.txt	Enzyme/MLIR	Tri	4947124224	9343815680
gmm_d32_K100.txt	Enzyme/MLIR	Packed	526155776	4923858944
gmm_d32_K100.txt	Enzyme/C	Full	8462147584	12859883520
gmm_d32_K100.txt	Enzyme/C	Tri	9366319104	13754249216
gmm_d32_K100.txt	Enzyme/C	Packed	526331904	4914851840
gmm_d128_K10.txt	LAGrad	Full	14655488	4411596800
gmm_d128_K10.txt	LAGrad	Tri	14987264	4394172416
gmm_d128_K10.txt	LAGrad	Packed	14704640	4412633088
gmm_d128_K10.txt	Enzyme/MLIR	Full	0	0
gmm_d128_K10.txt	Enzyme/MLIR	Tri	6992351232	11403423744
gmm_d128_K10.txt	Enzyme/MLIR	Packed	220409856	4618399744
gmm_d128_K10.txt	Enzyme/C	Full	13224275968	17606438912
gmm_d128_K10.txt	Enzyme/C	Tri	13292199936	17720721408
gmm_d128_K10.txt	Enzyme/C	Packed	220999680	4609630208
gmm_d64_K50.txt	LAGrad	Full	10592256	4408352768
gmm_d64_K50.txt	LAGrad	Tri	11231232	4408360960
gmm_d64_K50.txt	LAGrad	Packed	10620928	4408348672
gmm_d64_K50.txt	Enzyme/MLIR	Full	0	0
gmm_d64_K50.txt	Enzyme/MLIR	Tri	9111961600	13499985920
gmm_d64_K50.txt	Enzyme/MLIR	Packed	526536704	4907741184
gmm_d64_K50.txt	Enzyme/C	Full	13802090496	21044137984
gmm_d64_K50.txt	Enzyme/C	Tri	13146066944	17811832832
gmm_d64_K50.txt	Enzyme/C	Packed	527355904	4915920896
gmm_d32_K200.txt	LAGrad	Full	7995392	4403015680
gmm_d32_K200.txt	LAGrad	Tri	8105984	4394635264
gmm_d32_K200.txt	LAGrad	Packed	7966720	4402978816
gmm_d32_K200.txt	Enzyme/MLIR	Full	0	0
